"filename","id","var_name_orig","class_orig","label_orig","n_labels","n_valid_labels","n_na_labels"
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104B_EEU","retroharmonize_labelled_spss_survey","migration destination country eastern europe",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104B_FR","retroharmonize_labelled_spss_survey","migration destination country france",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104B_GER","retroharmonize_labelled_spss_survey","migration destination country germany",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104B_ESP","retroharmonize_labelled_spss_survey","migration destination country spain",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104B_IT","retroharmonize_labelled_spss_survey","migration destination country italy",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104B_WEUOTHER","retroharmonize_labelled_spss_survey","migration destination country western europe other",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104B_SSA","retroharmonize_labelled_spss_survey","migration destination country sub saharan africa",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104B_OTHER","retroharmonize_labelled_spss_survey","migration destination country other",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104B_DK","retroharmonize_labelled_spss_survey","migration destination country do not know",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104B_REF","retroharmonize_labelled_spss_survey","migration destination country refused",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104B_WEU","numeric","null",0,0,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104C","retroharmonize_labelled_spss_survey","migration leave without papers",4,4,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q105","retroharmonize_labelled_spss_survey","evaluation personal safety security",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q103","retroharmonize_labelled_spss_survey","trust interpersonal",4,4,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q201A_1","retroharmonize_labelled_spss_survey","trust government",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q201A_2","retroharmonize_labelled_spss_survey","trust courts legal system",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q201A_3","retroharmonize_labelled_spss_survey","trust parliament",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q201A_5","retroharmonize_labelled_spss_survey","trust local government municipal government in lebanon",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q201A_41","retroharmonize_labelled_spss_survey","trust regional government",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q201A_42","retroharmonize_labelled_spss_survey","trust police",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q201A_7","retroharmonize_labelled_spss_survey","trust civil society organisations",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q201B_6","retroharmonize_labelled_spss_survey","trust the army",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q201B_13","retroharmonize_labelled_spss_survey","trust religious leaders",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q201B_20","retroharmonize_labelled_spss_survey","trust political parties",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q201B_31","retroharmonize_labelled_spss_survey","trust president prime minister",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q201B_12","retroharmonize_labelled_spss_survey","trust islamist movement varies by country",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q201C_37","retroharmonize_labelled_spss_survey","trust private hospitals",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q201C_38","retroharmonize_labelled_spss_survey","trust private banks",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q201C_39","retroharmonize_labelled_spss_survey","trust private universities",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q201C_32","retroharmonize_labelled_spss_survey","trust civil service public administration",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q201C_40","retroharmonize_labelled_spss_survey","trust domestic business people",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q513","retroharmonize_labelled_spss_survey","evaluation government performance",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q204A_1","retroharmonize_labelled_spss_survey","evaluation educational system",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q204A_2","retroharmonize_labelled_spss_survey","evaluation healthcare system",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q204_2","retroharmonize_labelled_spss_survey","evaluation government performance creating job opportunities",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q204_3","retroharmonize_labelled_spss_survey","evaluation government performance narrowing gap between rich and poor",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q204_11","retroharmonize_labelled_spss_survey","evaluation government performance providing security and order",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q204_20","retroharmonize_labelled_spss_survey","evaluation government performance keeping priced down",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q204_22","retroharmonize_labelled_spss_survey","evaluation government performance educational needs",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q204B_13","retroharmonize_labelled_spss_survey","evaluation government performance enviornment for domestic foreign investment",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q204B_15","retroharmonize_labelled_spss_survey","evaluation government performance limit economic political disparity of region",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q204C_13","retroharmonize_labelled_spss_survey","evaluation government performance enviornment for investment",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q204C_15","retroharmonize_labelled_spss_survey","evaluation government performance limit economic disparity of regions",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q205_1","retroharmonize_labelled_spss_survey","evaluation services receiving id card",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q205_4","retroharmonize_labelled_spss_survey","evaluation services help from the police public security in lebanon",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q205_4LEB","retroharmonize_labelled_spss_survey","evaluation services internal security forces",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q205_6","retroharmonize_labelled_spss_survey","evaluation services registering a business",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q205_7","retroharmonize_labelled_spss_survey","evaluation services getting a building permit",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q214","retroharmonize_labelled_spss_survey","services certificate of good behavior",4,4,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q211D","retroharmonize_labelled_spss_survey","services online fees",4,4,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q209B","retroharmonize_labelled_spss_survey","agreement charitable social organizations do everything to provide necessary se",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q210","retroharmonize_labelled_spss_survey","corruption extent national level",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q211","retroharmonize_labelled_spss_survey","corruption extent tackled by government",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q211A","retroharmonize_labelled_spss_survey","corruption extent local level",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q211B","retroharmonize_labelled_spss_survey","corruption rashwa education services",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q211C","retroharmonize_labelled_spss_survey","corruption rashwa healthcare services",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q213B","retroharmonize_labelled_spss_survey","corruption wasta jobs",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q213A_1","retroharmonize_labelled_spss_survey","corruption definition buying sth that was stolen",4,4,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q213A_2","retroharmonize_labelled_spss_survey","corruption definition official provding wasta for relatives",4,4,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q213A_3","retroharmonize_labelled_spss_survey","corruption definition side payment to speed up service",4,4,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q209","retroharmonize_labelled_spss_survey","dis agreement government does all to provide necessary services",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q216","retroharmonize_labelled_spss_survey","dis agreement citizen must support government",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q218_2","retroharmonize_labelled_spss_survey","dis agreement political leaders are concerned with citizens' needs",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q218_5","retroharmonize_labelled_spss_survey","dis agreement politics too complicated",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q218_6","retroharmonize_labelled_spss_survey","dis agreement state has right to demand taxes",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q501","retroharmonize_labelled_spss_survey","membership organization",4,4,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q501A","retroharmonize_labelled_spss_survey","volunteering organization",4,4,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q266","retroharmonize_labelled_spss_survey","charity monthy donations",4,4,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q502_1","retroharmonize_labelled_spss_survey","nonelectoral participation meeting petition",5,5,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q502_2","retroharmonize_labelled_spss_survey","nonelectoral participation protest",5,5,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q502_4","retroharmonize_labelled_spss_survey","nonelectoral participation use force for political cause",5,5,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q265","retroharmonize_labelled_spss_survey","preference taxes vs sadaqa",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q263","retroharmonize_labelled_spss_survey","charity helping the poor",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q404","retroharmonize_labelled_spss_survey","political interest",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q301A","retroharmonize_labelled_spss_survey","electoral participation turnout parliamentary elections",4,4,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q301B","retroharmonize_labelled_spss_survey","electoral participation belli turnout parliamentary elections",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q303A","retroharmonize_labelled_spss_survey","evaluation elections free and fair",5,5,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q302","retroharmonize_labelled_spss_survey","electoral participation visited rally during parliamentary election",4,4,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q503A","retroharmonize_labelled_spss_survey","closeness party",238,238,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q505A","retroharmonize_labelled_spss_survey","preference religious vs non religious party",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q301C","retroharmonize_labelled_spss_survey","electoral participation turnout local election",4,4,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q601A","retroharmonize_labelled_spss_survey","dis agreement women's quota",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q516A","retroharmonize_labelled_spss_survey","preference goverment",5,5,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q515A2","retroharmonize_labelled_spss_survey","democracy main characteristic",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q511","retroharmonize_labelled_spss_survey","democracy extent",5,5,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q512","retroharmonize_labelled_spss_survey","democracy suitability",5,5,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q514","retroharmonize_labelled_spss_survey","dis agreement political reform should occur little by little",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q514A","retroharmonize_labelled_spss_survey","prefernce political reform",5,5,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q516_1","retroharmonize_labelled_spss_survey","dis agreement democracy economic performance weak",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q516_2","retroharmonize_labelled_spss_survey","dis agreement democracy indecisive and full of problems",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q516_3","retroharmonize_labelled_spss_survey","dis agreement democracy ineffective in mainting security order",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q516_4","retroharmonize_labelled_spss_survey","dis agreement democracy better than other systems",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q423_1","retroharmonize_labelled_spss_survey","media usage watching tv",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q423_2","retroharmonize_labelled_spss_survey","media usage listinging to radio",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q423_3","retroharmonize_labelled_spss_survey","media usage reading print edition of newspaper",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q409","retroharmonize_labelled_spss_survey","media usage internet",8,8,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q424","retroharmonize_labelled_spss_survey","media usage social media",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q412A3","retroharmonize_labelled_spss_survey","media usage social media facebook",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q412A4","retroharmonize_labelled_spss_survey","media usage social media twitter",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q412A6","retroharmonize_labelled_spss_survey","media usage social media instagram",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q412A7","retroharmonize_labelled_spss_survey","media usage social media youtube",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q412A8","retroharmonize_labelled_spss_survey","media usage social media whatsapp",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q412A9","retroharmonize_labelled_spss_survey","media usage social media telegram",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q412A10","retroharmonize_labelled_spss_survey","media usage social media snapchat",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q412A14","retroharmonize_labelled_spss_survey","media usage social media other",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q412A98","retroharmonize_labelled_spss_survey","media usage social media do not know",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q412A99","retroharmonize_labelled_spss_survey","media usage social media refused",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q421","retroharmonize_labelled_spss_survey","media usage breaking news main source of information",9,9,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q521_1","retroharmonize_labelled_spss_survey","guaranteed freedoms opinion expression",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q521_4","retroharmonize_labelled_spss_survey","guaranteed freedoms protest demonstrate",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q521_5","retroharmonize_labelled_spss_survey","guaranteed freedoms civil associations",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q521A_3","retroharmonize_labelled_spss_survey","dis agreement more trust information on social media than traditional media",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q521A_4","retroharmonize_labelled_spss_survey","dis agreement well informed about politics",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q852","retroharmonize_labelled_spss_survey","wellbeing body image",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q853A","retroharmonize_labelled_spss_survey","wellbeing body image importance living up to body image males",8,8,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q853B","retroharmonize_labelled_spss_survey","wellbeing body image importance living up to body image females",8,8,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q854","retroharmonize_labelled_spss_survey","wellbeing dis agreement free to make decision for myself",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q855A","retroharmonize_labelled_spss_survey","wellbeing stress",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q855B","retroharmonize_labelled_spss_survey","wellbeing depresssion",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q851_E1","retroharmonize_labelled_spss_survey","verbal sexual harassment frequency",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q851_E2","retroharmonize_labelled_spss_survey","physical sexual harassment frequency",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q851A","retroharmonize_labelled_spss_survey","domestic violence prevalence",4,4,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q851B","retroharmonize_labelled_spss_survey","domestic violence prevalence past 12 months",4,4,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q851C","retroharmonize_labelled_spss_survey","domestic violence gender victim",5,5,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q851D_1","retroharmonize_labelled_spss_survey","domestic violence support actors female relative",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q851D_2","retroharmonize_labelled_spss_survey","domestic violence support actors male relative",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q851D_3","retroharmonize_labelled_spss_survey","domestic violence support actors local police",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q851D_4","retroharmonize_labelled_spss_survey","domestic violence support actors hospital",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q851D_5","retroharmonize_labelled_spss_survey","domestic violence support actors local organization",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q851D_6","retroharmonize_labelled_spss_survey","domestic violence support actors none of these",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q851D_7","retroharmonize_labelled_spss_survey","domestic violence support actors other",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q851D_98","retroharmonize_labelled_spss_survey","domestic violence support actors do not know",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q851D_99","retroharmonize_labelled_spss_survey","domestic violence support actors refused",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q860A","numeric","null",0,0,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q860B","numeric","null",0,0,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q860C","numeric","null",0,0,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q860D","numeric","null",0,0,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q1012","retroharmonize_labelled_spss_survey","religion",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q1012A","retroharmonize_labelled_spss_survey","religious sect",17,17,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q609","retroharmonize_labelled_spss_survey","level of religiosity",5,5,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q609A","retroharmonize_labelled_spss_survey","religion frequency pray",8,8,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q610_8","retroharmonize_labelled_spss_survey","religion frequency pray fajr on time",8,8,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q610_5A","retroharmonize_labelled_spss_survey","religion frequency attend friday prayer",8,8,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q610_5B","retroharmonize_labelled_spss_survey","religion frequency attend sunday service",8,8,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q610_6A","retroharmonize_labelled_spss_survey","religion frequency reading quran",8,8,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q610_6B","retroharmonize_labelled_spss_survey","religion frequency reading bible",8,8,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q610_9","retroharmonize_labelled_spss_survey","religion frequency pray istikhara",8,8,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q601_1","retroharmonize_labelled_spss_survey","women's rights woman can be prime minister president",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q601_3","retroharmonize_labelled_spss_survey","women's rights men better at political leadership",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q601_4","retroharmonize_labelled_spss_survey","women's rights university education more important for males",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q601_7","retroharmonize_labelled_spss_survey","women's rights permissible for a woman to travel alone",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q601_9","retroharmonize_labelled_spss_survey","women's rights equal share of inheritance",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q601_9A","retroharmonize_labelled_spss_survey","women's rights equal inheritance",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q601_14","retroharmonize_labelled_spss_survey","women's rights equal rights to make the decision to divorce",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q601_18","retroharmonize_labelled_spss_survey","women's rights husbands should have final say in family decisions",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q602_1","retroharmonize_labelled_spss_survey","preference neighbors different religion",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q602_2","retroharmonize_labelled_spss_survey","preference neighbors different race color",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q602_3","retroharmonize_labelled_spss_survey","preference neighbors immigrants",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q602_4A","retroharmonize_labelled_spss_survey","preference neighbors different sect of islam",7,7,0
